Trial,Bay,Block,Row,Range,Expt_15,Name,scald 12/9/16 Z33-7,Scald 5/10/16 Z55-65
Scald,B,1,25,6,Control,Gairdner,6,7
Scald,B,1,26,6,CAIGE 1,1:LAN15,7,8
Scald,B,1,27,6,CAIGE 1,3:LAN15,7,7
Scald,B,1,28,6,CAIGE 1,4:LAN15,7,7
Scald,B,1,29,6,CAIGE 1,6:LAN15,7,7
Scald,B,1,30,6,CAIGE 1,7:LAN15,7,8
Scald,B,1,31,6,CAIGE 1,8:LAN15,5,5
Scald,B,1,32,6,CAIGE 1,10:LAN15,7,8
Scald,B,1,33,6,Control,Hindmarsh,6,7
Scald,B,1,34,6,CAIGE 1,13:LAN15,7,7
Scald,B,1,35,6,CAIGE 1,14:LAN15,7,8
Scald,B,1,36,6,CAIGE 1,16:LAN15,7,7
Scald,B,1,37,6,CAIGE 1,18:LAN15,6,6
Scald,B,1,38,6,CAIGE 1,19:LAN15,8,9
Scald,B,1,39,6,CAIGE 1,20:LAN15,8,8
Scald,B,1,40,6,CAIGE 1,22:LAN15,5,4
Scald,B,1,41,6,Control,Gairdner,7,8
Scald,B,1,42,6,CAIGE 1,23:LAN15,5,5
Scald,B,1,43,6,CAIGE 1,25:LAN15,7,8
Scald,B,1,44,6,CAIGE 1,1:ZBS15,7,7
Scald,B,1,45,6,CAIGE 1,3:ZBS15,7,8
Scald,B,1,46,6,CAIGE 1,4:ZBS15,2,3
Scald,B,1,47,6,CAIGE 1,5:ZBS15,6,6
Scald,B,1,48,6,Control,Schooner,6,6
Scald,B,1,25,7,Control,Hindmarsh,5,5
Scald,B,1,26,7,CAIGE 1,6:ZBS15,7,7
Scald,B,1,27,7,CAIGE 1,7:ZBS15,8,9
Scald,B,1,28,7,CAIGE 1,8:ZBS15,7,8
Scald,B,1,29,7,CAIGE 1,9:ZBS15,7,8
Scald,B,1,30,7,CAIGE 1,10:ZBS15,7,8
Scald,B,1,31,7,CAIGE 1,11:ZBS15,7,8
Scald,B,1,32,7,CAIGE 1,12:ZBS15,7,8
Scald,B,1,33,7,Control,Yagan,8,8
Scald,B,1,34,7,CAIGE 1,16:ZBS15,8,8
Scald,B,1,35,7,CAIGE 1,18:ZBS15,3,2
Scald,B,1,36,7,CAIGE 1,20:ZBS15,2,2
Scald,B,1,37,7,CAIGE 1,21:ZBS15,2,3
Scald,B,1,38,7,CAIGE 1,23:ZBS15,3,5
Scald,B,1,39,7,CAIGE 1,24:ZBS15,6,7
Scald,B,1,40,7,CAIGE 1,25:ZBS15,3,2
Scald,B,1,41,7,Control,Schooner,6,7
Scald,B,1,42,7,CAIGE 1,28:ZBS15,4,3
Scald,B,1,43,7,CAIGE 1,29:ZBS15,5,4
Scald,B,1,44,7,CAIGE 1,31:ZBS15,6,8
Scald,B,1,45,7,CAIGE 1,32:ZBS15,7,8
Scald,B,1,46,7,CAIGE 1,33:ZBS15,5,7
Scald,B,1,47,7,CAIGE 1,34:ZBS15,7,9
Scald,B,1,48,7,Control,LaTrobe,5,8
Scald,B,1,25,8,Control,Yagan,7,9
Scald,B,1,26,8,CAIGE 1,36:ZBS15,7,9
Scald,B,1,27,8,CAIGE 1,37:ZBS15,3,5
Scald,B,1,28,8,CAIGE 1,38:ZBS15,5,4
Scald,B,1,29,8,CAIGE 1,39:ZBS15,4,5
Scald,B,1,30,8,CAIGE 1,40:ZBS15,6,8
Scald,B,1,31,8,CAIGE 1,42:ZBS15,4,4
Scald,B,1,32,8,CAIGE 1,43:ZBS15,3,3
Scald,B,1,33,8,Control,Hindmarsh,2,2
Scald,B,1,34,8,CAIGE 1,44:ZBS15,2,3
Scald,B,1,35,8,CAIGE 1,46:ZBS15,4,7
Scald,B,1,36,8,CAIGE 1,47:ZBS15,7,7
Scald,B,1,37,8,CAIGE 1,51:ZBS15,4,7
Scald,B,1,38,8,CAIGE 1,54:ZBS15,7,8
Scald,B,1,39,8,CAIGE 1,55:ZBS15,5,7
Scald,B,1,40,8,CAIGE 1,56:ZBS15,4,6
Scald,B,1,41,8,Control,Westminster,4,4
Scald,B,1,42,8,CAIGE 1,57:ZBS15,5,7
Scald,B,1,43,8,CAIGE 1,58:ZBS15,4,5
Scald,B,1,44,8,CAIGE 1,59:ZBS15,3,2
Scald,B,1,45,8,CAIGE 1,61:ZBS15,3,3
Scald,B,1,46,8,CAIGE 1,62:ZBS15,2,3
Scald,B,1,47,8,CAIGE 1,63:ZBS15,2,2
Scald,B,1,48,8,Control,Compass,7,7
Scald,B,1,25,9,Control,Yagan,7,8
Scald,B,1,26,9,CAIGE 1,64:ZBS15,6,3
Scald,B,1,27,9,CAIGE 1,65:ZBS15,4,3
Scald,B,1,28,9,CAIGE 1,66:ZBS15,5,4
Scald,B,1,29,9,CAIGE 1,67:ZBS15,2,2
Scald,B,1,30,9,CAIGE 1,68:ZBS15,5,6
Scald,B,1,31,9,CAIGE 1,69:ZBS15,3,3
Scald,B,1,32,9,CAIGE 1,70:ZBS15,6,7
Scald,B,1,33,9,Control,Yagan,8,9
Scald,B,1,34,9,CAIGE 1,71:ZBS15,3,5
Scald,B,1,35,9,CAIGE 1,72:ZBS15,3,2
Scald,B,1,36,9,CAIGE 1,74:ZBS15,5,4
Scald,B,1,37,9,CAIGE 1,75:ZBS15,6,8
Scald,B,1,38,9,CAIGE 1,76:ZBS15,2,2
Scald,B,1,39,9,CAIGE 1,79:ZBS15,5,7
Scald,B,1,40,9,CAIGE 1,80:ZBS15,5,6
Scald,B,1,41,9,Control,Schooner,6,7
Scald,B,1,42,9,CAIGE 1,82:ZBS15,5,6
Scald,B,1,43,9,CAIGE 1,83:ZBS15,4,5
Scald,B,1,44,9,CAIGE 1,84:ZBS15,3,5
Scald,B,1,45,9,CAIGE 1,85:ZBS15,4,6
Scald,B,1,46,9,CAIGE 1,86:ZBS15,3,3
Scald,B,1,47,9,CAIGE 1,87:ZBS15,2,2
Scald,B,1,48,9,Control,Buloke,-,7
Scald,B,1,25,10,Control,Buloke,7,8
Scald,B,1,26,10,CAIGE 1,88:ZBS15,5,7
Scald,B,1,27,10,CAIGE 1,89:ZBS15,5,6
Scald,B,1,28,10,CAIGE 1,90:ZBS15,7,8
Scald,B,1,29,10,CAIGE 1,2:ZIB15,7,8
Scald,B,1,30,10,CAIGE 1,3:ZIB15,7,8
Scald,B,1,31,10,CAIGE 1,4:ZIB15,7,7
Scald,B,1,32,10,CAIGE 1,6:ZIB15,6,7
Scald,B,1,33,10,Control,Schooner,7,8
Scald,B,1,34,10,CAIGE 1,7:ZIB15,6,8
Scald,B,1,35,10,CAIGE 1,8:ZIB15,2,8
Scald,B,1,36,10,CAIGE 1,9:ZIB15,6,8
Scald,B,1,37,10,CAIGE 1,10:ZIB15,6,8
Scald,B,1,38,10,CAIGE 1,11:ZIB15,7,8
Scald,B,1,39,10,CAIGE 1,13:ZIB15,5,7
Scald,B,1,40,10,CAIGE 1,14:ZIB15,6,7
Scald,B,1,41,10,Control,Schooner,6,7
Scald,B,1,42,10,CAIGE 1,15:ZIB15,6,7
Scald,B,1,43,10,CAIGE 1,16:ZIB15,4,6
Scald,B,1,44,10,CAIGE 1,17:ZIB15,5,4
Scald,B,1,45,10,CAIGE 1,18:ZIB15,7,8
Scald,B,1,46,10,CAIGE 1,19:ZIB15,7,7
Scald,B,1,47,10,CAIGE 1,20:ZIB15,7,8
Scald,B,1,48,10,Control,LaTrobe,-,5
Scald,B,1,25,12,Control,Hindmarsh,2,5
Scald,B,1,26,12,CAIGE 1,21:ZIB15,6,8
Scald,B,1,27,12,CAIGE 1,22:ZIB15,7,8
Scald,B,1,28,12,CAIGE 1,23:ZIB15,7,7
Scald,B,1,29,12,CAIGE 1,24:ZIB15,8,8
Scald,B,1,30,12,CAIGE 1,1:ZIC15,2,2
Scald,B,1,31,12,CAIGE 1,3:ZIC15,2,2
Scald,B,1,32,12,CAIGE 1,4:ZIC15,3,2
Scald,B,1,33,12,Control,Gairdner,7,8
Scald,B,1,34,12,CAIGE 1,5:ZIC15,6,7
Scald,B,1,35,12,CAIGE 1,6:ZIC15,2,2
Scald,B,1,36,12,CAIGE 1,7:ZIC15,2,2
Scald,B,1,37,12,CAIGE 1,8:ZIC15,2,2
Scald,B,1,38,12,CAIGE 1,9:ZIC15,5,6
Scald,B,1,39,12,CAIGE 1,10:ZIC15,7,8
Scald,B,1,40,12,CAIGE 1,12:ZIC15,3,6
Scald,B,1,41,12,Control,Yagan,8,8
Scald,B,1,42,12,CAIGE 1,13:ZIC15,6,6
Scald,B,1,43,12,CAIGE 1,14:ZIC15,3,5
Scald,B,1,44,12,CAIGE 1,15:ZIC15,6,7
Scald,B,1,45,12,CAIGE 1,16:ZIC15,3,2
Scald,B,1,46,12,CAIGE 1,17:ZIC15,2,2
Scald,B,1,47,12,CAIGE 1,19:ZIC15,2,2
Scald,B,1,48,12,Control,Westminster,-,-
Scald,B,1,25,13,Control,Hindmarsh,2,2
Scald,B,1,26,13,CAIGE 1,20:ZIC15,4,4
Scald,B,1,27,13,CAIGE 1,21:ZIC15,4,5
Scald,B,1,28,13,CAIGE 1,23:ZIC15,6,7
Scald,B,1,29,13,CAIGE 1,24:ZIC15,3,4
Scald,B,1,30,13,CAIGE 1,125:ZID14,4,5
Scald,B,1,31,13,CAIGE 1,1:ZIE14,5,5
Scald,B,1,32,13,CAIGE 1,9:ZIE14,3,4
Scald,B,1,33,13,Control,Yagan,8,9
Scald,B,1,34,13,CAIGE 1,11:ZIE14,2,3
Scald,B,1,35,13,CAIGE 1,13:ZIE14,2,3
Scald,B,1,36,13,CAIGE 1,18:ZIE14,3,3
Scald,B,1,37,13,CAIGE 1,19:ZIE14,1,2
Scald,B,1,38,13,CAIGE 1,20:ZIE14,5,3
Scald,B,1,39,13,CAIGE 1, ICARDA003,4,6
Scald,B,1,40,13,CAIGE 1, ICARDA009,7,8
Scald,B,1,41,13,Control,Yagan,7,8
Scald,B,1,42,13,CAIGE 1, ICARDA012,6,8
Scald,B,1,43,13,CAIGE 1, ICARDA016,6,7
Scald,B,1,44,13,CAIGE 1, ICARDA023,5,6
Scald,B,1,45,13,CAIGE 1, ICARDA026,6,7
Scald,B,1,46,13,CAIGE 1, ICARDA068,8,8
Scald,B,1,47,13,CAIGE 1, ISBONLRAM-052,6,7
Scald,B,1,48,13,Control,Schooner,-,-
Scald,B,1,25,14,Control,Hindmarsh,3,2
Scald,B,1,26,14,CAIGE 1, ISBONLRAM-083,6,6
Scald,B,1,27,14,CAIGE 1, ISBONLRAM-107,7,8
Scald,B,1,28,14,CAIGE 1, ISBYTLRAC-003,6,7
Scald,B,1,29,14,CAIGE 1, ISBYTLRAC-004,5,7
Scald,B,1,30,14,CAIGE 1, ISBYTLRAC-015,6,8
Scald,B,1,31,14,CAIGE 1, ISBYTLRAC-019-24,7,8
Scald,B,1,32,14,CAIGE 1, ISBYTLRAM-004,7,8
Scald,B,1,33,14,Control,Hindmarsh,5,3
Scald,B,1,48,14,Control,Compass,,
Scald,B,1,25,15,Control,Gairdner,8,8
Scald,B,1,26,15,CAIGE 2,2:ZIB14,7,8
Scald,B,1,27,15,CAIGE 2,18:ZIB14,5,6
Scald,B,1,28,15,CAIGE 2,19:ZIB14,5,7
Scald,B,1,29,15,CAIGE 2,23:ZIB14,5,5
Scald,B,1,30,15,CAIGE 2,24:ZIB14,5,7
Scald,B,1,31,15,CAIGE 2,13:ZIC14,3,3
Scald,B,1,32,15,CAIGE 2,18:ZIC14,3,3
Scald,B,1,33,15,Control,Gairdner,7,8
Scald,B,1,34,15,CAIGE 2,5:ZID14,5,7
Scald,B,1,35,15,CAIGE 2,6:ZID14,2,5
Scald,B,1,36,15,CAIGE 2,15:ZID14,2,3
Scald,B,1,37,15,CAIGE 2,16:ZID14,2,4
Scald,B,1,38,15,CAIGE 2,23:ZID14,2,2
Scald,B,1,39,15,CAIGE 2,27:ZID14,7,8
Scald,B,1,40,15,CAIGE 2,32:ZID14,7,8
Scald,B,1,41,15,Control,Yagan,8,8
Scald,B,1,42,15,CAIGE 2,35:ZID14,6,7
Scald,B,1,43,15,CAIGE 2,44:ZID14,6,8
Scald,B,1,44,15,CAIGE 2,45:ZID14,6,6
Scald,B,1,45,15,CAIGE 2,49:ZID14,3,2
